3M                                    94 MAPLEWOOD          MN5514491584  
KIMBERLY-CLARK                        155IRVING             TX7503842000  
KINDER MORGAN                         215HOUSTON            TX7700211121  
KINDRED HEALTHCARE                    376LOUISVILLE         KY4020276650  
KOHL'S                                150MENOMONEE FALLS    WI5305185000  
KRAFT HEINZ                           106CHICAGO            IL6060141000  
KROGER                                18 CINCINNATI         OH45202443000 
L BRANDS                              220COLUMBUS           OH4323059100  
L-3 COMMUNICATIONS                    273NEW YORK           NY1001638000  
LABORATORY CORP. OF AMERICA           290BURLINGTON         NC2721552000  
LAM RESEARCH                          440FREMONT            CA945387500   
LAND O'LAKES                          209ARDEN HILLS        MN5512610000  
LAS VEGAS SANDS                       249LAS VEGAS          NV8910949000  
LEAR                                  151SOUTHFIELD         MI48033148400 
LEIDOS HOLDINGS                       381RESTON             VA2019032000  
LENNAR                                260MIAMI              FL331728335   
LEUCADIA NATIONAL                     262NEW YORK           NY1002213000  
LEVEL 3 COMMUNICATIONS                336BROOMFIELD         CO8002112600  
LIBERTY INTERACTIVE                   269ENGLEWOOD          CO8011221080  
LIBERTY MEDIA                         491ENGLEWOOD          CO801123626   
LIBERTY MUTUAL INSURANCE GROUP        75 BOSTON             MA2116 50000  
LIFEPOINT HEALTH                      374BRENTWOOD          TN3702747000  
LINCOLN NATIONAL                      207RADNOR             PA190879057   
LITHIA MOTORS                         318MEDFORD            OR9750111170  
LIVE NATION ENTERTAINMENT             330BEVERLY HILLS      CA9021011500  
LKQ                                   304CHICAGO            IL6066142500  
LOCKHEED MARTIN                       56 BETHESDA           MD2081797000  
LOEWS                                 213NEW YORK           NY1006515800  
LOWE'S                                40 MOORESVILLE        NC28117240000 
M&T BANK CORP.                        455BUFFALO            NY1420316487  
MACY'S                                110CINCINNATI         OH45202148300 
MANPOWERGROUP                         146MILWAUKEE          WI5321228000  
MARATHON PETROLEUM                    51 FINDLAY            OH4584044460  
MARKEL                                460GLEN ALLEN         VA2306010900  
MARRIOTT INTERNATIONAL                163BETHESDA           MD20817226500 
MARSH & MCLENNAN                      210NEW YORK           NY1003660000  
MASCO                                 372TAYLOR             MI4818026000  
MASSACHUSETTS MUTUAL LIFE INSURANCE   77 SPRINGFIELD        MA1011111737  
MASTERCARD                            267PURCHASE           NY1057711900  
MATTEL                                474EL SEGUNDO         CA9024532000  
MCDONALD'S                            112OAK BROOK          IL60523375000 
MCKESSON                              5  SAN FRANCISCO      CA9410468000  
MERCK                                 69 KENILWORTH         NJ7033 68000  
METLIFE                               42 NEW YORK           NY1016658000  
MGM RESORTS INTERNATIONAL             297LAS VEGAS          NV8910966500  
MICHAELS COS.                         496IRVING             TX7506331000  
MICRON TECHNOLOGY                     226BOISE              ID8371631400  
MICROSOFT                             28 REDMOND            WA98052114000 
MOHAWK INDUSTRIES                     311CALHOUN            GA3070137800  
MOLINA HEALTHCARE                     156LONG BEACH         CA9080221000  
MONDELEZ INTERNATIONAL                109DEERFIELD          IL6001590000  
MONSANTO                              204SAINT LOUIS        MO6316722450  
MORGAN STANLEY                        76 NEW YORK           NY1003655311  
MOSAIC                                377PLYMOUTH           MN554418700   
MOTOROLA SOLUTIONS                    433CHICAGO            IL6066114000  
MURPHY USA                            291EL DORADO          AR717306600   
MUTUAL OF OMAHA INSURANCE             342OMAHA              NE681755732   
NATIONAL OILWELL VARCO                375HOUSTON            TX7703636384  
NATIONWIDE                            68 COLUMBUS           OH4321534320  
NAVISTAR INTERNATIONAL                337LISLE              IL6053211300  
NCR                                   409ATLANTA            GA3030833500  
NETAPP                                468SUNNYVALE          CA9408912030  
NETFLIX                               314LOS GATOS          CA950323850   
NEW YORK LIFE INSURANCE               65 NEW YORK           NY1001011320  
NEWELL BRANDS                         208HOBOKEN            NJ7030 53400  
NEWMONT MINING                        328GREENWOOD VILLAGE  CO8011112438  
NEWS CORP.                            332NEW YORK           NY1003624000  
NEXTERA ENERGY                        170JUNO BEACH         FL3340814700  
NGL ENERGY PARTNERS                   237TULSA              OK741363200   
NIKE                                  88 BEAVERTON          OR9700570700  
NORDSTROM                             188SEATTLE            WA9810172500  
NORFOLK SOUTHERN                      284NORFOLK            VA2351027856  
NORTHROP GRUMMAN                      114FALLS CHURCH       VA2204267000  
NORTHWESTERN MUTUAL                   97 MILWAUKEE          WI532025646   
NRG ENERGY                            229PRINCETON          NJ8540 8763   
NUCOR                                 169CHARLOTTE          NC2821123900  
NVIDIA                                387SANTA CLARA        CA9505110299  
NVR                                   446RESTON             VA201904900   
O'REILLY AUTOMOTIVE                   323SPRINGFIELD        MO6580258397  
OCCIDENTAL PETROLEUM                  278LOS ANGELES        CA9002411000  
OFFICE DEPOT                          203BOCA RATON         FL3349638000  
OLD REPUBLIC INTERNATIONAL            439CHICAGO            IL606018500   
OLIN                                  467CLAYTON            MO631056400   
OMNICOM GROUP                         179NEW YORK           NY1002278500  
ONEOK                                 312TULSA              OK741032384   
ORACLE                                81 REDWOOD CITY       CA94065136000 
OSHKOSH                               425OSHKOSH            WI5490213800  
OWENS & MINOR                         288MECHANICSVILLE     VA231167900   
OWENS CORNING                         458TOLEDO             OH4365916000  
OWENS-ILLINOIS                        401PERRYSBURG         OH4355127000  
PACCAR                                164BELLEVUE           WA9800423000  
PACIFIC LIFE                          302NEWPORT BEACH      CA926603628   
PACKAGING CORP. OF AMERICA            450LAKE FOREST        IL6004514000  
PARKER-HANNIFIN                       251CLEVELAND          OH4412448950  
PATTERSON                             466SAINT PAUL         MN551207000   
PAYPAL HOLDINGS                       264SAN JOSE           CA9513118100  
PBF ENERGY                            172PARSIPPANY         NJ7054 3165   
PENSKE AUTOMOTIVE GROUP               142BLOOMFIELD HILLS   MI4830224000  
PEPSICO                               44 PURCHASE           NY10577264000 
PERFORMANCE FOOD GROUP                171RICHMOND           VA2323813000  
PETER KIEWIT SONS'                    324OMAHA              NE6813120000  
PFIZER                                54 NEW YORK           NY1001796500  
PG&E CORP.                            157SAN FRANCISCO      CA9410524000  
PHILIP MORRIS INTERNATIONAL           104NEW YORK           NY1001779500  
PHILLIPS 66                           34 HOUSTON            TX7704214800  
PLAINS GP HOLDINGS                    141HOUSTON            TX770025100   
PNC FINANCIAL SERVICES GROUP          166PITTSBURGH         PA1522250683  
PPG INDUSTRIES                        183PITTSBURGH         PA1527247000  
PPL                                   365ALLENTOWN          PA1810112689  
PRAXAIR                               275DANBURY            CT6810 26498  
PRICELINE GROUP                       268NORWALK            CT6854 18500  
PRINCIPAL FINANCIAL                   227DES MOINES         IA5039214854  
PROCTER & GAMBLE                      36 CINCINNATI         OH45202105000 
PROGRESSIVE                           120MAYFIELD VILLAGE   OH4414331721  
PRUDENTIAL FINANCIAL                  48 NEWARK             NJ7102 49739  
PUBLIC SERVICE ENTERPRISE GROUP       308NEWARK             NJ7102 13065  
PUBLIX SUPER MARKETS                  85 LAKELAND           FL33811191000 
PULTEGROUP                            353ATLANTA            GA303264623   
PVH                                   335NEW YORK           NY1001626650  
QUALCOMM                              119SAN DIEGO          CA9212130500  
QUANTA SERVICES                       355HOUSTON            TX7705628100  
QUEST DIAGNOSTICS                     366SECAUCUS           NJ7094 43000  
QUINTILES TRANSNATIONAL HOLDINGS      390DURHAM             NC2770350000  
R.R. DONNELLEY & SONS                 388CHICAGO            IL6060644360  
RALPH LAUREN                          371NEW YORK           NY1002220500  
RAYMOND JAMES FINANCIAL               469SAINT PETERSBURG   FL3371611900  
RAYTHEON                              116WALTHAM            MA2451 63000  
REALOGY HOLDINGS                      448MADISON            NJ7940 11800  
REGIONS FINANCIAL                     436BIRMINGHAM         AL3520322166  
REINSURANCE GROUP OF AMERICA          246CHESTERFIELD       MO630172371   
RELIANCE STEEL & ALUMINUM             320LOS ANGELES        CA9007114500  
REPUBLIC SERVICES                     299PHOENIX            AZ8505433000  
REYNOLDS AMERICAN                     223WINSTON-SALEM      NC271015525   
RITE AID                              91 CAMP HILL          PA1701170580  
ROBERT HALF INTERNATIONAL             493MENLO PARK         CA9402516400  
ROCKWELL AUTOMATION                   442MILWAUKEE          WI5320422000  
ROCKWELL COLLINS                      492CEDAR RAPIDS       IA5249819000  
ROSS STORES                           219DUBLIN             CA9456878600  
RYDER SYSTEM                          394MIAMI              FL3317834500  
S&P GLOBAL                            459NEW YORK           NY1004120000  
SALESFORCE.COM                        326SAN FRANCISCO      CA9410525000  
SANMINA                               414MILPITAS           CA9503540178  
SEABOARD                              486SHAWNEE MISSION    KS6620211781  
SEALED AIR                            397ELMWOOD PARK       NJ7407 23000  
SEARS HOLDINGS                        127HOFFMAN ESTATES    IL60179140000 
SEMPRA ENERGY                         280SAN DIEGO          CA9210116575  
SHERWIN-WILLIAMS                      236CLEVELAND          OH4411542550  
SIMON PROPERTY GROUP                  477INDIANAPOLIS       IN462044050   
SONIC AUTOMOTIVE                      287CHARLOTTE          NC282119800   
SOUTHERN                              145ATLANTA            GA3030832015  
SOUTHWEST AIRLINES                    138DALLAS             TX7523553536  
SPARTANNASH                           350BYRON CENTER       MI4931511500  
SPIRIT AEROSYSTEMS HOLDINGS           393WICHITA            KS6721014400  
ST. JUDE MEDICAL                      434SAINT PAUL         MN5511718000  
STANLEY BLACK & DECKER                250NEW BRITAIN        CT6053 54023  
STAPLES                               140FRAMINGHAM         MA1702 61503  
STARBUCKS                             131SEATTLE            WA98134254000 
STATE FARM INSURANCE COS.             33 BLOOMINGTON        IL6171068234  
STATE STREET CORP.                    271BOSTON             MA2111 33783  
